posPlu,containerId
8,41
14,11
15,11
16,11
17,11
18,5
19,5
20,5
21,5
22,5
23,5
25,11
26,11
40,7
41,7
56,7
57,7
98,1
99,1
102,2
103,2
106,18
107,18
118,10
119,10
122,15
123,15
126,14
127,14
140,60247
141,60247
142,60247
143,60247
150,8
151,8
154,19
155,19
158,12
159,12
162,21
163,21
166,16
167,16
170,25
171,25
174,4
175,4
178,20
179,20
182,49
183,49
201,12962
202,12991
269,31
270,32
271,30
272,34
273,35
274,33
275,142543
276,37
277,38
278,39
280,41
281,42
283,13001
284,13001
286,12998
287,12998
289,12998
291,12998
292,12998
294,12998
296,12998
297,12998
341,12972
342,12972
344,12972
345,12972
346,12972
347,12972
348,12972
349,12972
350,12972
351,12989
352,12989
353,12972
355,12989
356,12989
357,12989
359,12989
361,12989
362,12989
363,12989
364,12989
378,12968
379,12960
380,12960
381,12960
417,43
419,36
514,70635
515,12966
516,12966
517,12964
518,12964
533,70634
538,70633
539,70635
597,12992
598,12992
599,12992
600,12992
601,12992
602,12992
651,12996
652,12996
653,12996
654,12996
655,12996
656,12996
657,12995
658,12995
659,12995
660,12995
661,12995
662,12995
679,26
680,26
681,26
682,26
684,26
685,26
686,26
687,26
688,26
690,26
691,27
692,27
693,27
694,27
696,27
697,27
698,27
699,27
700,27
702,27
707,28
708,28
709,28
710,28
711,28
716,29
717,29
718,28
723,12959
724,12959
735,27273
736,27273
737,27273
738,27273
739,27273
740,27273
743,24728
789,13010
797,1
799,1
801,10
802,10
805,73202
806,17
808,73202
845,60245
846,60245
847,60246
848,60246
849,154853
850,154853
851,154853
852,154853
865,15
866,15
867,2
868,2
869,4
870,4
873,24316
874,24316
875,49
876,49
877,12972
878,12972
879,12989
881,14
882,14
883,18
884,18
885,20
886,20
887,21
888,21
889,19
890,19
891,25
892,25
893,12
894,12
895,8
896,8
897,26
898,26
899,27
900,27
901,16
902,16
903,60247
904,60247
905,60247
906,60247
922,60250
923,60248
924,60250
925,60250
926,60248
927,60248
928,60248
929,60248
930,60248
931,60248
932,60248
933,60248
935,60248
936,60248
937,60248
939,60248
940,60248
941,60248
942,60248
944,60248
945,60248
946,60249
948,60248
950,81107
951,81107
952,81107
953,81107
954,81107
955,81107
959,60248
964,80537
965,80537
966,80537
967,80537
968,80537
969,80537
1044,142542
1045,142542
1046,142543
1051,41
1069,20
1070,20
1102,4
1103,4
1123,148814
1124,148814
1125,148814
1126,148815
1127,148815
1128,148815
1129,148815
1130,148816
1131,148816
1132,148816
1133,148816
1134,148817
1135,148817
1136,148817
1137,148817
1138,148818
1139,148818
1140,148818
1141,148818
1142,149341
1152,43
1154,60247
1155,60247
1156,60247
1157,60247
1158,148814
1159,149342
1160,149343
1179,149341
1180,149342
1181,149343
1200,149342
1201,149343
1202,149341
1205,149609
1208,149609
1209,149609
1234,24728
1236,80537
1237,80537
1238,3
1239,3
1240,5
1241,5
1242,28
1243,28
1244,27273
1245,27273
1246,12992
1247,12992
1248,12996
1249,12996
1250,12995
1251,12995
1256,73202
1257,73202
1309,158738
1310,158738
1311,158738
1312,158738
1313,158738
1314,158738
1315,158738
1316,158738
1317,158738
1318,158738
1319,158738
1320,158738
1321,159575
1322,159575
1323,159575
1324,159575
1325,159575
1326,159575
1327,159575
1328,159575
1329,159575
1330,159575
1331,159575
1332,159575
1335,43
1386,7
1396,43
5089,60245
5090,60245
5091,60245
5092,60245
5093,60245
5094,60245
5096,60245
5097,60245
5099,60246
5101,60245
5102,60245
5104,60246
5105,60245
5106,60246
5108,60245
5109,60246
5111,60245
5113,60245
5114,60245
5116,60245
5121,149630
5122,149630
5123,149630
5124,149630
5125,149630
5126,149630
5128,149630
5129,149630
5131,149630
5133,149630
5134,149630
5136,149630
5137,149630
5138,149630
5140,149630
5141,149630
5145,149630
5146,149630
5148,149630
100001,1
100002,1
100004,1
100005,1
100007,1
100009,1
100010,1
100012,1
100013,2
100014,2
100016,2
100017,2
100019,2
100021,2
100022,2
100024,2
100025,18
100026,18
100028,18
100029,18
100031,18
100033,18
100034,18
100036,18
100061,10
100062,10
100064,10
100065,10
100067,10
100069,10
100070,10
100072,10
100073,15
100074,15
100076,15
100077,15
100079,15
100081,15
100082,15
100084,15
100097,14
100098,14
100100,14
100101,14
100103,14
100105,14
100106,14
100108,14
100133,60247
100134,60247
100136,60247
100137,60247
100139,60247
100144,60247
100145,60247
100147,60247
100148,60247
100149,60247
100151,60247
100152,60247
100154,60247
100156,60247
100157,60247
100159,60247
100176,8
100177,8
100179,8
100180,8
100182,8
100184,8
100185,8
100187,8
100188,19
100189,19
100191,19
100192,19
100194,19
100196,19
100197,19
100199,19
100200,12
100201,12
100203,12
100204,12
100206,12
100208,12
100209,12
100211,12
100212,21
100213,21
100215,21
100216,21
100218,21
100220,21
100221,21
100223,21
100224,16
100225,16
100227,16
100228,16
100230,16
100232,16
100233,16
100235,16
100236,25
100237,25
100239,25
100240,25
100242,25
100244,25
100245,25
100247,25
100248,4
100249,4
100251,4
100252,4
100254,4
100256,4
100257,4
100259,4
100260,20
100261,20
100263,20
100264,20
100266,20
100268,20
100269,20
100271,20
100272,6
100273,6
100281,13
100282,13
100283,13
100296,9
100297,9
100298,9
100301,9
100312,9
100314,9
100316,9
100317,9
100318,9
100319,9
100322,9
100323,9
100324,23
100331,23
100340,45
100343,9
100344,9
100345,9
100346,9
100348,9
100349,9
100351,9
100352,9
100356,9
100382,49
100383,49
100385,49
100386,49
100388,49
100398,49
100399,49
100401,49
100402,17
100441,3
100442,3
100443,3
100444,3
100445,3
100446,3
100459,11
100460,11
100462,7
100465,7
100466,7
100467,7
100468,7
100489,7
100490,7
100492,7
100493,7
100494,7
100495,7
100496,7
100497,7
100539,31
100540,31
100541,31
100542,35
100543,32
100544,34
100545,30
100546,33
100547,36
100548,35
100549,32
100550,34
100551,30
100552,33
100553,36
100554,37
100556,37
100564,42
100565,38
460009,12969
460010,12969
460011,12969
460012,12969
460014,12969
460015,12969
460016,12969
460017,12969
460018,12969
460021,12969
460022,12969
460024,12969
460025,12969
460026,12969
460027,12969
460028,12969
460029,12969
880,12989
1015,38
5143,149630
